Embedding,Classifier,Accuracy,Precision,Recall,F1,AUC,_f1,_auc
roberta_base,Logistic Regression,0.8939±0.0005,0.8937±0.0036,0.8942±0.0033,0.8939±0.0001,0.9594±0.0001,0.8939270497351184,0.9594091599999999
roberta_base,LSTM,0.8842±0.0001,0.8802±0.0003,0.8896±0.0003,0.8848±0.0000,0.9540±0.0003,0.8848382484732407,0.953995725
albert_base_v2,Logistic Regression,0.8728±0.0002,0.8728±0.0036,0.8729±0.0053,0.8728±0.0009,0.9452±0.0002,0.8727800471969598,0.94519452
distilbert_base_uncased,Logistic Regression,0.8565±0.0010,0.8591±0.0019,0.8528±0.0050,0.8559±0.0016,0.9314±0.0003,0.8559392955789066,0.9313809849999999
albert_base_v2,LSTM,0.8545±0.0022,0.8572±0.0083,0.8510±0.0169,0.8539±0.0044,0.9324±0.0017,0.8539029745699316,0.932443615
roberta_base,Random Forest,0.8501±0.0019,0.8399±0.0020,0.8653±0.0016,0.8524±0.0018,0.9246±0.0000,0.852386887067391,0.92457168
distilbert_base_uncased,LSTM,0.8488±0.0017,0.8488±0.0038,0.8489±0.0013,0.8488±0.0013,0.9273±0.0011,0.8488401716176268,0.92726579
bert_base_uncased,Logistic Regression,0.8485±0.0004,0.8523±0.0033,0.8433±0.0036,0.8477±0.0002,0.9255±0.0001,0.8477498462783248,0.9255328899999999
bert_large_uncased,Logistic Regression,0.8439±0.0008,0.8454±0.0011,0.8417±0.0035,0.8435±0.0012,0.9198±0.0001,0.8435236401683759,0.91982485
bert_base_uncased,LSTM,0.8368±0.0022,0.8316±0.0032,0.8448±0.0007,0.8381±0.0020,0.9189±0.0023,0.838111048334901,0.9189443399999999
bert_large_uncased,LSTM,0.8320±0.0013,0.8350±0.0106,0.8280±0.0124,0.8313±0.0010,0.9137±0.0002,0.8313113385521331,0.9136935899999999
albert_base_v2,Random Forest,0.8199±0.0001,0.8181±0.0031,0.8228±0.0051,0.8204±0.0010,0.9021±0.0010,0.8204450512801422,0.90213462
distilbert_base_uncased,Random Forest,0.8194±0.0001,0.8173±0.0011,0.8227±0.0015,0.8199±0.0002,0.9020±0.0008,0.8199438611250887,0.90199156
bert_base_uncased,Random Forest,0.8056±0.0014,0.8068±0.0023,0.8039±0.0074,0.8053±0.0026,0.8881±0.0012,0.8052938277626212,0.8881264600000001
bert_large_uncased,Random Forest,0.8044±0.0001,0.8109±0.0035,0.7942±0.0050,0.8024±0.0009,0.8836±0.0020,0.8024102148994406,0.8835694949999999
roberta_base,AdaBoost,0.7992±0.0014,0.8369±0.0013,0.7432±0.0053,0.7873±0.0024,0.8888±0.0005,0.7872689455096011,0.888773625
distilbert_base_uncased,AdaBoost,0.7863±0.0002,0.8166±0.0004,0.7386±0.0010,0.7756±0.0004,0.8735±0.0001,0.7756245024331752,0.873498925
albert_base_v2,AdaBoost,0.7738±0.0005,0.8142±0.0054,0.7097±0.0088,0.7583±0.0027,0.8639±0.0002,0.758271103043029,0.863915935
bert_large_uncased,AdaBoost,0.7691±0.0023,0.7966±0.0031,0.7228±0.0015,0.7579±0.0022,0.8511±0.0020,0.7579249141545118,0.85105787
bert_base_uncased,AdaBoost,0.7727±0.0021,0.8149±0.0089,0.7059±0.0067,0.7564±0.0000,0.8579±0.0012,0.756395797391431,0.857923335
